text_lang,CONval,CONava,Quant_CTAM,COMP,spoken_lang,VALn
Other than English,3,4,4,NA,1,3
Multilingual,5,1,1,0,1,0
Multilingual,0,0,1,0,1,0
Multilingual,1,1,2,0,1,0
Multilingual,5,4,5,0,1,5
Multilingual,2,1,2,0,0,0
NA,NA,NA,NA,NA,NA,0
Multilingual,NA,NA,4,NA,NA,0
Other than English,0,0,4,NA,1,2
NA,NA,NA,NA,NA,NA,0
Multilingual,NA,NA,5,0,NA,0
Multilingual,4,6,4,0,1,1
Multilingual,NA,NA,3,0,NA,0
English,4,1,5,NA,1,4
English,3,1,4,NA,0,2
Multilingual,2,2,2,0,1,0
Multilingual,3,3,5,0,0,5
Other than English,5,3,3,NA,1,5
English,3,1,5,NA,0,5
Multilingual,NA,NA,5,0,NA,0
Multilingual,5,1,4,0,1,4
NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,0
Multilingual,6,2,5,0,1,1
Multilingual,2,4,5,0,1,5
Multilingual,3,4,4,0,1,4
English,1,0,3,NA,0,5
Other than English,6,2,2,NA,1,0
Multilingual,4,5,2,0,1,0
Multilingual,4,3,2,0,1,0
English,1,2,1,NA,0,0
Multilingual,0,3,2,0,1,0
NA,NA,NA,NA,NA,NA,0
Multilingual,NA,NA,3,1,NA,0
NA,NA,NA,NA,NA,NA,0
Multilingual,NA,NA,1,0,NA,0
NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,0
Other than English,5,1,1,NA,NA,0
Multilingual,2,1,3,0,1,5
Multilingual,3,1,3,0,1,2
English,3,2,5,NA,0,5
Multilingual,4,4,5,0,1,3
Multilingual,5,6,4,0,1,5
English,3,2,2,NA,0,0
Multilingual,3,5,4,0,1,5
